CATEGORY,ITEM,NAMESPACE,NAME,CURRENT_VALUE,RECOMMENDED_VALUE,STATUS,DETAIL
"SECURITY","no_resource_limits","alepay-prod","alepay-schedule-fbd69745b-qrjt8","container=alepay-schedule","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","alepay-token-microform-786944cd67-hbpcm","container=alepay-token-microform","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","api-v1-service-c798478c4-bw7lw","container=api-v1-service","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","core-ops-564995994f-7xlcz","container=core-ops","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","core-ops-564995994f-nfd4w","container=core-ops","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","doi-soat-php-67d987f457-wqxcx","container=doi-soat-php","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","s3-pvc-archive-once-7xd7s","container=aws-archive","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","static-alepay-847597b596-4krmb","container=static-alepay","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","alepay-prod","static-alepay-847597b596-hzvd8","container=static-alepay","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","argocd","argocd-application-controller-0","container=application-controller","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","argocd","argocd-applicationset-controller-6589579b4d-vm7mn","container=applicationset-controller","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","argocd","argocd-dex-server-5c9444d98-xsbx9","container=dex-server","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","argocd","argocd-redis-866c99c658-6zn9w","container=redis","Set resource limits","WARNING",""
"SECURITY","no_resource_limits","argocd","argocd-repo-server-9c7d695b7-bbd67","container=repo-server","Set resource limits","WARNING",""
"SUGGESTION","WARNING","109 pod/container(s) running without resource limits","Set resource requests and limits to prevent resource contention and enable HPA.",,,,
"SECURITY","no_health_checks","alepay-prod","alepay-admintool-7bdbcffb67-8njl2","container=alepay-admintool","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-bi-report-6449d86769-nb5xs","container=alepay-bi-report","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-core-export-c6bffb885-86z7f","container=alepay-core-export","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-core-get-info-fcb7f956b-5lctl","container=alepay-core-get-info","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-core-get-info-fcb7f956b-jsdlb","container=alepay-core-get-info","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-core-get-info-fcb7f956b-xjh5h","container=alepay-core-get-info","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-merchant-frontend-java-647c9cc6fd-lv7dj","container=alepay-merchant-frontend-java","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-provider-64cdcf9b48-8k5v9","container=alepay-provider","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","alepay-schedule-fbd69745b-qrjt8","container=alepay-schedule","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","api-partner-5bd976fb4-dk6xx","container=api-partner","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","callback-merchant-6d6d8b5775-n7fjh","container=callback-merchant","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","s3-pvc-archive-once-7xd7s","container=aws-archive","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","static-alepay-847597b596-4krmb","container=static-alepay","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","alepay-prod","static-alepay-847597b596-hzvd8","container=static-alepay","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","argocd","argocd-applicationset-controller-6589579b4d-vm7mn","container=applicationset-controller","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","argocd","argocd-dex-server-5c9444d98-xsbx9","container=dex-server","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","argocd","argocd-redis-866c99c658-6zn9w","container=redis","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","cattle-fleet-local-system","fleet-agent-0","container=fleet-agent","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","cattle-fleet-local-system","fleet-agent-0","container=fleet-agent-clusterstatus","Add liveness/readiness probes","WARNING",""
"SECURITY","no_health_checks","cattle-fleet-system","fleet-agent-0","container=fleet-agent","Add liveness/readiness probes","WARNING",""
"SUGGESTION","WARNING","44 pod/container(s) running without liveness/readiness probes","Add health checks to ensure Kubernetes can detect and restart unhealthy pods.",,,,
"SECURITY","privileged","kube-system","ebs-csi-node-2bn9m","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-59mrn","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-6dg4d","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-86jjt","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-gl9pk","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-k995c","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-lfpwf","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-mvmms","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-n5gqd","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-nqzgx","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-sgzf2","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-sshfq","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-tfcfq","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-vhcpx","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-vjmbg","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-zbmzg","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","ebs-csi-node-zzxg2","container=ebs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-controller-7864d984b7-95rkb","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-controller-7864d984b7-gl7tv","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-2gb59","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-5mnh8","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-5wbr4","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-67mv9","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-ckk5x","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-g4krn","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-h64sj","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-jppkt","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-jpv4s","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-kg8fm","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-l8rct","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-lg24b","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-mb458","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-nh6ms","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-nnxct","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-sm9d5","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","efs-csi-node-wzx29","container=efs-plugin","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-2prrh","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-2tqrb","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-4nz7s","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-54492","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-8jp2n","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-9l62z","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-b7l5v","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-gmtfm","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-hs5fj","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-lztnn","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-mscnj","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-p855s","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-pwq9k","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-scb6p","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-t4lr6","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-v6w2m","container=kube-proxy","Remove privileged mode","WARNING",""
"SECURITY","privileged","kube-system","kube-proxy-z756b","container=kube-proxy","Remove privileged mode","WARNING",""
"SUGGESTION","INFO","All 53 privileged containers are in kube-system (expected system components)","No workload container runs privileged - nothing to act on here.",,,,
"SUGGESTION","WARNING","96 container(s) potentially running as root (non-kube-system)","Set 'runAsNonRoot: true' and specify a non-root 'runAsUser' in securityContext.",,,,
"SECURITY","irsa","alepay-prod","s3-backup-sa","arn:aws:iam::347599856906:role/EKS-S3-Backup-Role","","OK",""
"SECURITY","irsa","default","s3-backup-sa","arn:aws:iam::347599856906:role/EKS-S3-Backup-Role","","OK",""
"SUGGESTION","WARNING","ServiceAccount 's3-backup-sa' in the 'default' namespace has an IAM role attached","Role: arn:aws:iam::347599856906:role/EKS-S3-Backup-Role. Anything deployed into 'default' can assume it. Move the workload to a dedicated namespace, or remove the annotation if unused.",,,,
"SECURITY","irsa","kube-system","ebs-csi-controller-sa","arn:aws:iam::347599856906:role/AmazonEKS_EBS_CSI_DriverRole_Alepay","","OK",""
"SECURITY","irsa","kube-system","efs-csi-controller-sa","arn:aws:iam::347599856906:role/kube-efs-role-Ale-EKS-Cluster-ap-southeast-1","","OK",""
"SECURITY","irsa","kube-system","efs-csi-node-sa","arn:aws:iam::347599856906:role/kube-efs-role-Ale-EKS-Cluster-ap-southeast-1","","OK",""
"EVENT","warning","","BackOff","count=2","","WARNING",""
"SUGGESTION","WARNING","2 recent warning event(s) with reason 'BackOff'","Investigate: kubectl get events -A --field-selector type=Warning,reason=BackOff --sort-by=.lastTimestamp",,,,
"SUGGESTION","CRITICAL","Upgrade readiness check failed: Amazon Linux 2 compatibility","Checks if any nodes in the cluster are running Amazon Linux 2. Support for Amazon Linux 2 on Amazon EKS will end on November 26, 2025. Additionally, Amazon EKS will not release Amazon Linux 2 AMIs for Kubernetes version 1.33 and higher",,,,
"UPGRADE_READINESS","insight","","Amazon Linux 2 compatibility","ERROR","PASSING","ERROR",""
